Symbol,Mode (command/dictation/both),Spoken Forms (separated with commas)
`,command,back tick
",",both,comma,coma
.,both,period,full stop
.,command,peridot
;,command,flicker
:,command,blinker
?,both,question mark
?,command,question
-,both,hyphen
-,command,dash
=,command,equals
+,command,surplus
~,command,squiggly
_,command,underscore
(,command,L thesis,left thesis
),command,R thesis,right thesis
[,command,L block,left block
],command,R block,right block
/,command,whiplash
\,command,backslash
{,command,L visage,left visage
},command,R visage,right visage
<,command,L sharp,left sharp
>,command,R sharp,right sharp
|,command,pipe
',command,apostrophe
"""",command,double trough
